北海道,677935,628652,49283
青森,234197,219764,14432
岩手,232968,218172,14796
宮城,169426,148123,21303
秋田,211058,198071,12987
山形,195043,181704,13339
福島,212831,192008,20824
茨城,215363,186678,28685
栃木,153281,132408,20872
群馬,157132,135836,21297
埼玉,290997,227987,63010
千葉,253163,197953,55210
東京,0,0,0
神奈川,201893,126231,75662
新潟,271463,250619,20844
富山,150735,138328,12407
石川,143492,130476,13016
福井,143139,132403,10736
山梨,153822,142830,10992
長野,229342,208267,21076
岐阜,204119,184043,20076
静岡,206160,169315,36845
愛知,176342,102295,74046
三重,167364,147435,19929
滋賀,142521,127722,14799
京都,207044,184549,22495
大阪,379144,292585,86559
兵庫,371130,321773,49358
奈良,180083,167113,12969
和歌山,193531,182453,11077
鳥取,148945,139834,9111
島根,196354,185251,11103
岡山,188889,171991,16897
広島,210884,185803,25081
山口,194433,179895,14538
徳島,166002,156067,9935
香川,131615,120516,11098
愛媛,191958,178562,13397
高知,188470,177095,11375
福岡,328464,285471,42994
佐賀,160752,151319,9433
長崎,240250,226953,13297
熊本,237532,221891,15640
大分,192669,180256,12413
宮崎,202101,189482,12619
鹿児島,295404,279582,15822
沖縄,235339,221859,13481
合計,10034780,8927620,1107160
